states,year,quarter,trans_type,trans_counts,amount
andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.455284
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795367
andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.2965411
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.658504
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271317
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.6694117
andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.230113048
andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698563
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.17878
andhra-pradesh,2018,1,Merchant payments,362672,247297640.2400068
andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544
andhra-pradesh,2018,1,Others,395514,287626042.970705
andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.488035
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.895294
andhra-pradesh,2018,2,Merchant payments,604847,436785223.8603296
andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599
andhra-pradesh,2018,2,Others,322063,328092346.575651
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.66872
andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.894192
andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212
